fp,status,id,cpu,memory,duration,source
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id5100_p0.json,finished,02336329-e7fd-420e-8180-2607a44d13ad,51708 cpu-seconds,210800090 mb-seconds,604,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id5100_p1.json,finished,cd7e6ff8-10dd-4ab9-8099-8ac9a8f2de40,56601 cpu-seconds,230542341 mb-seconds,727,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id5100_p2.json,finished,fd45892a-6e1a-412b-8a92-907bf02ff9c6,59945 cpu-seconds,244351072 mb-seconds,722,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id5100_p3.json,finished,fc146556-0694-43ef-80ca-585712f5ea23,52260 cpu-seconds,213053060 mb-seconds,643,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id5100_p4.json,finished,a9029292-e51a-41ca-a8d1-f19e748a038d,44253 cpu-seconds,180328977 mb-seconds,596,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id8100_p0.json,finished,54bc31f2-49c9-462f-acf9-be3e9cda1fb5,43715 cpu-seconds,178168157 mb-seconds,586,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2018_zone31_id8100_p1.json,finished,0b9e3106-9087-40d4-b91c-49f817dad836,39414 cpu-seconds,160490802 mb-seconds,560,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id1110_p0.json,finished,caa602a4-3670-4a99-a67d-ac97d77034c5,44341 cpu-seconds,180651070 mb-seconds,618,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id1120_p0.json,finished,3ba06354-74a3-4aee-82ec-ad9da1497059,11588 cpu-seconds,47115493 mb-seconds,270,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id1200_p0.json,finished,c25965eb-1638-4150-9734-3008ec516a9f,85992 cpu-seconds,350501076 mb-seconds,958,tbd
c:\users\driesseb\dev\openeo-classification\src\openeo_classification\resources\training_data\crops_of_interest\terrascope\sampleable_polygons_year2019_zone31_id1200_p1.json,finished,f127653b-24f2-47ea-8d43-2f097d3a5039,75116 cpu-seconds,306230423 mb-seconds,845,tbd
